col,ISR2,OSR2,t_stats
OverallQual,0.6714190770535247,0.6778957425088832,43.71110069002677
Neighborhood,0.7417137275679788,0.7414133529986002,15.907557765431633
GrLivArea,0.8053094728016793,0.8088633788253522,17.442095791346684
BsmtFullBath,0.8207254729458671,0.8285689478963253,8.944225464298015
GarageCars,0.834214642668387,0.8421441927790787,8.675142945990528
CentralAir,0.8442142480679132,0.8644172154881313,7.704984469747228
MSZoning,0.8499143690268782,0.8697245289013982,5.9378825226600345
BsmtExposure,0.8569391864975338,0.8745569581090701,6.744489942941063
YearRemodAdd,0.8617018142945712,0.8771330567531104,5.651493169233355
FireplaceQu,0.8662059782279904,0.8803198134436236,5.557067688120774
Functional,0.8694005893749139,0.8830098295485546,4.739361601320924
Condition1,0.8720569686339437,0.8840456828453179,4.294633783338221
BldgType,0.8734883613793285,0.8864142595922702,3.227003129636335
Exterior1st,0.8745477879221083,0.8851768476187873,2.778624254426686
ScreenPorch,0.8763274004229024,0.8878534611872128,3.5695580167898258
KitchenQual,0.8774070680678729,0.8882021016458462,2.8322611416925025
LandContour,0.8785759110695504,0.888355028560984,2.8677475760253204
HouseStyle,0.8799443065911365,0.8904794752376679,-3.2016815155234584
TotRmsAbvGrd,0.880960825666311,0.8899847360139362,2.7026273870460664
WoodDeckSF,0.8819568434418923,0.8901784020177222,2.7604228345419175
OpenPorchSF,0.8826700249250233,0.8874450560646261,2.35069379987993
HeatingQC,0.8833401027995945,0.8881341149711239,2.281989860282865
GarageYrBlt,0.8842250630225127,0.88597560093049,-2.564677280226053
GarageQual,0.8852059284076936,0.8902587408672303,2.7335363571022326
LotConfig,0.8858431153564463,0.8908839599851196,2.21581080706457
SaleCondition,0.8872726716004641,0.8948529576566032,3.318295928772345
MSSubClass,0.887691443631996,0.8955463379686509,1.810685761505146
RoofMatl,0.8880900319002961,0.8962661320142629,1.7061120894576849
BedroomAbvGr,0.8886612138559599,0.8957813242815161,2.0726992968971647
Utilities,0.8892508974406841,0.8954439526074653,1.9668225104778139
RoofStyle,0.8895636794229509,0.8966667896789045,1.5914395147828928
